Family,Scientific Name,Common Name,Year Introduced,Year Established,Source,First Voucher,Stage,Pathway,In our data?,
IGUANIDAE,Cyclura nubila nubila (Gray 1831),Cuban Rock Iguana,2004,N/A,Krysko et al. 2011a,UF 164356,Cargo,,N,
COLUBRIDAE,Dendrelaphis pictus (Gmelin 1789),Painted Bronze-backed Treesnake,2011,N/A,This Study,UF 166444,2,Pet Trade,Y,
HYLIDAE,Dendropsophis marmoratus (Laurenti 1768),Marbled Treefrog,2011,N/A,Rochford et al. 2011,UF 164381,2,Pet Trade,N,
TEIIDAE,Dracaena guianensis (Daudin 1801),Guyana Caiman Lizard,2012,N/A,This Study,UF 168600,2,Pet Trade,Y,
BUFONIDAE,Duttaphrynus melanostictus (Schneider 1799),Asian Black-spotted Toad,2010,N/A,Krysko et al. 2011a,UF 159699,1,Cargo,Y,
SCINCIDAE,Egernia cunninghami (Gray 1832),Cunningham’s Skink,2008,N/A,Krysko et al. 2011a,UF 153760,2,Pet Trade,N,
ELEUTHERODACTYLIDAE,Eleutherodactylus coqui Thomas 1966,Coqui,1973,N/A,Austin & Schwartz 1975,MPM 24418,2,Cargo,Y,
ELEUTHERODACTYLIDAE,Eleutherodactylus planirostris (Cope 1862),Greenhouse Frog,1863,1860s,Cope 1863,USNM 30955,5,Cargo,Y,
BOIDAE,Epicrates cenchria (Linnaeus 1758),Rainbow Boa,1997,N/A,Krysko et al. 2011a,UF 123128,2,Pet Trade,Y,
BOIDAE,Epicrates maurus (Gray 1849),Brown Rainbow Boa,2014,N/A,This Study,"UF 173416, 177205",2,Pet Trade,N,
HOMALOPSIDAE,Erpeton tentaculatum Lacepède 1800,Tentacled Snake,2010,N/A,Holbrook & Krysko 2011,UF 163086,2,Pet Trade,Y,
BOIDAE,Eryx colubrina (Linnaeus 1758),Egyptian Sand Boa,2007,N/A,Krysko et al. 2011a,UF 151512,2,Pet Trade,Y,
BOIDAE,Eryx muelleri (Boulenger 1892),West African Sand Boa,2009,N/A,Krysko et al. 2011a,UF 155335,2,Pet Trade,N,
EUBLEPHARIDAE,Eublepharis macularius (Blyth 1854),Leopard Gecko,2011,N/A,This Study,UF 166452,Pet Trade,,Y,
BOIDAE,Eunectes murinus (Linnaeus 1758),Green Anaconda,2004,N/A,Dalrymple 1994; Snow et al. 2007b; Krysko et al. 2011a,UF 143935,2,Pet Trade,Y,
BOIDAE,Eunectes notaeus (Cope 1862),Yellow Anaconda,2007,N/A,Dalrymple 1994; Reed & Rodda 2009; Krysko et al. 2011a,UF 152688,2,Pet Trade,Y,
SCINCIDAE,Eutropis multifasciata (Kuhl 1820),Brown Mabuya,1990,1990s,Meshaka 1999,USNM 523790,4b,Cargo,Y,
CHAMAELEONIDAE,Furcifer lateralis (Gray 1831),White-lined Chameleon,2011,N/A,This Study,UF 166453,Pet Trade,,Y,
CHAMAELEONIDAE,Furcifer oustaleti (Mocquard 1894),Oustalet’s Chameleon,2000,2000s,Gillette et al. 2010,UF 163066–084,Pet Trade,,Y,
CHAMAELEONIDAE,Furcifer pardalis (Cuvier 1829),Panther Chameleon,2008,2013,Krysko et al. 2011a; Rochford et al. 2013,"UF 153489, 1707801–023",Pet Trade,,Y,
GEKKONIDAE,Gehyra mutilata (Wiegmann 1834),Mutilating Gecko,1996,N/A,Meshaka et al. 2004,EVER 303436,Pet Trade,,N,
GEKKONIDAE,Gekko badenii Szczerbak & Nekrasova 1994,Golden Gecko,2008,2000s,Krysko et al. 2011a,UF 153894,Pet Trade,,Y,
GEKKONIDAE,Gekko gecko (Linnaeus 1758),Tokay Gecko,1964,1960s,King & Krakauer 1966,UF 99183,Pet Trade,,Y,
GEKKONIDAE,Gekko grossmanni Günther 1994,Marbled Gecko,2008,N/A,Krysko et al. 2011a,UF 152730,Pet Trade,,Y,
GEKKONIDAE,Gekko vittatus (Houttuyn 1782),Lined Gecko,2009,N/A,Krysko et al. 2011a,"UF 157035, 157327",Pet Tra,,Y,
EMYDIDAE,Glyptemys insculpta (Le Conte 1830),Wood Turtle,2009,N/A,Krysko et al. 2011a,UF 159391,2,Pet Trade,N,
SPHAERODACTYLIDAE,Gonatodes albogularis,Yellow-headed Gecko,1965,N/A,King & Krakauer 1966,—,Pet Trade,,N,
AGAMIDAE,Gonocephalus grandis (Gray 1845),Giant Forest Dragon,2011,N/A,This Study,UF 166447,Pet Trade,,Y,
EMYDIDAE,Graptemys ouachitensis Cagle 1953,Ouachita Map Turtle,2006,N/A,Enge et al. 2007,UF 150157,2,Pet Trade,Y,
EMYDIDAE,Graptemys pseudogeographica kohnii (Baur 1890),Mississippi Map Turtle,2010,N/A,Kail et al. 2011a,UF 159338,2,Pet Trade,Y,
GEKKONIDAE,Hemidactylus frenatus Schlegel in Duméril & Bibron 1836,House Gecko,1993,1990s,Meshaka et al. 1994,"USNM 504381–83, 504379–80",Pet Trade,,Y,
GEKKONIDAE,Hemidactylus garnotii Duméril & Bibron 1836,Indo-Pacific Gecko,1963,1960s,King & Krakauer 1966,MCZ 77585,Cargo,,Y,
